"nick","date","comment"
"Ran",2012-05-13,"whatd you think"
"Greyjoy67",2012-05-13,"for sheer entertainment 910 again  its just so gripping even if youve read the books this series has really gone up a notch in the second half so far i dont feel too strongly about the changes because theyve been relatively well written in alton dying worked pretty well that was a strong scene in fact this was the first episode where id say almost every scene was acted absolutely superbly perhaps one too many ygrittejon scenes but im glad theyre developing that relationship i have a real thing for ygritte  shes uh feisty winkpng classbbcemoticon alt  she reminds me of girls from scotland where im from so thats probably why i again loved tywinarya even if they need to get moving a bit with that storyline qarth worked out well i just dunno what happened really it was wonderfully creepy though theon gets a again um what else yeah no i couldnt find much to complain about im sure a bunch of you will though haha"
"Wyman_Manderly",2012-05-13,"did not care too much for the cersei tyrion scene liked the jaime scenes though 810 i kind of liked what they did with qarth it was lot better than what i was expecting it to be edited by wymanmanderly 13 may 2012  0927 pm"
"Arlborn",2012-05-13,"oh my god i loved it best episode of the show so far i am an avid book reader and i had to use my first post to post here i loved it so much the ending specially oh my even though i am a book reader it still gave me all sort of feelings watching those bodies all i could think of was how awesome it was and oh the scene showing harrenhall in all its haunting and ruined glory best visual scene this show had so far gosh awesome i loooved what they did about qarth too jeez and the scenes with jaime wow just wow blown away oh god i think im having an orgasm right here i just loved it did i mention that i loved it yet edited by arlborn 13 may 2012  0935 pm"
"Tewks44",2012-05-13,"this was perhaps the first episode where i thought the changes were actually good and since they dont appear to be having any long term diversions from the book i think itll all wind up okay"
"Kyrion",2012-05-13,"the coup of qarth was awesome but also a little alarming just like that they could take over qarthwell he is a warlock also didnt like the change to jon getting captured dont see how they will get to the qhorrin halfhands part still overall awesome episode 910"
"shaggydork",2012-05-13,"good 710 although a step down from last week the jonygritte scenes were a little slow im becoming disappointed with the northofthewall settingtoo barren aryatywin scenes were outstanding as usual i am totally buying his interest in her although its superficially unlikely im enjoying qarth and danys story in general more than i did in the books but dany herself is coming across as a bit too crazy i get that theyre playing up the coin flip targaryen sanity but i think it might be hurting the character"
"jasonresno",2012-05-13,"the coup of qarth was awesome but also a little alarming just like that they could take over qarthwell he is a warlockalso didnt like the change to jon getting captured dont see how they will get to the qhorrin halfhands partstill overall awesome episode 910im assuming the halfhand gets captured as well and jon and qorin will be ordered to fight eachother qorin then gives him his final command i could see it working out alright"
"Ferrum Aeternum",2012-05-13,"810 again not perfect in particular i thought the final reveal of bran and rickon was handled a bit clumsily considering its importance but a lot of nice touches throughout and the best exposition this season quick impressions  apart from the end theons story was again handled in top notch fashion ill admit despite my disdain for theons character that i was quite amused by his kicking the shit out of black lorren lold at the preceding dialogue  the giant musta took em giant you mean hodor biggrinpng classbbcemoticon altd   loved all the stuff at robbs camp including talisas reaction when robb wants to take her to the crag methinks a certain lady westerling hasnt quite been forthcoming with king robb biggrinpng classbbcemoticon altd  the jaimealton scene was fantastic because it succeeded in drawing me into the notion that it was just a long expository scene then wham well played dd  satisfied to this point with the qarth story  the truth of my prediction shared by several other boarders that xxd was behind the dragon theft at least in part was no great surprise the wanton murder of the thirteen definitely was im eager to see how this gets resolved  the sandorsansa scene was ok albeit rushed  tywin lannister is not a moron at least not a complete one he knows arya is highborn and i suspect given milordmy lord has known all along since apparently ty will be leaving harrenhal next week that little plotline is about to come to an end  again excited to see what happens btw  speaking of harrenhal that establishing shot leading into tys window was fantastic a to the cgi folks  quaithe fun little scene although im ready to see her speak with dany directly  another fun little scene was branrickonhodorosha  jon  ygritte was fine but a little long and drawn out could have done with one fewer scene of them wandering around in the snow now we can be reasonably certain that jonqorin wont go the same as in the books again not too happy about that but well see what happens this episode definitely had that setup feel to it which is fine so long as the payoff works is it next sunday yet"
"nothatso",2012-05-13,"mostly enjoyed it but i dont like how they essentially skipped the sequence where jon gets his scar and finds mances camp it reeked of budget issues"
