"author" "date" "body"
"1" "zombiedeadhead" 2013-05-27 " stupid american holidays "
"2" "ACertainBang" 2013-05-27 " 5432hun  very sad she was absolutely great in that scene is that the sort of story you like little lord i feel like the show could do with more old folk with long memories and lots of tales not only to give backstory to the ignorant nonbook readers such as myself but also to warn the ignorant young folk of westeros that their games mean nothing compared to the winter and other dangers to come "
"3" "zandegola" 2013-05-27 " beadster  ed balls "
"4" "ntofr1" 2013-05-26 " greenseer  glad i could help "
"5" "BenjyUK" 2013-05-25 " nickc909  oh i loved robin hood viserys actor harry lloyd played will scarlett he was fcking dreadful "
"6" "BenjyUK" 2013-05-25 " vonsparron  i saw a pube might start a movement  go gay for gendry "
"7" "Sinequanone" 2013-05-25 " uncertainagain 24 may 2013 514pm get ciffix for firefox i think they are trying to be a bit old school fantasy  like the work of frazetta or vallejo i do really fancy talisa so cant deny i liked that bit  but i think we live in modern times and they have tried to show blokes with tops off but its a fact that blokes genitals are more exterior than womens so its harder to show men with bottoms off they have shown some mens bums for me i dont mind general nudity but i did start to find all the brothel and prostitute scenes annoying hopefully with littlefinger gone we will get less of that but i think that is to do with my general morality i think portrayals of prostitution in any kind of glamorous way is wrong and unrealistic "
"8" "GJSmith" 2013-05-25 " scandibaby  yeah but ray stevenson was great in dexter "
"9" "IainM" 2013-05-25 " cosmonaut  damn right i was shouting at the telly pick it up pick it up "
"10" "Zoggers" 2013-05-24 " westmike  theyre also spending about 15 million on terry pratchetts the watch series next year definitely fantasy and though humerous will be post watershed so will apparently show the darker side of poor sam vimes day to day or night to night work "
"11" "The_Wanderer" 2013-05-24 " there was a lot of bittersweet moments on this episode tyrion drunk at his wedding  hilarious joffrey walking sansa down the aisle  terrible it led to a lot of different feelings while watching it i agree with the analysis that the episode largely centered around the characters who were being forced to do things against their will i guess the focus was on what everyone is calling the second sons i found though that there were opportunities for the underdog to usurp the power of his superior which was done nicely in daarios storyline this was a nice contrast to the feeling of powerlessness that dominates most of the show ive written a blog article that talks about the choices or lack there of that the characters had to make in this episode ive linked it below for those who are interested in reading it httpwwwallthatisgolddoesnotglitterblogspotcom201305gameofthronesseason3thesecondsonshtml "
"12" "Greenseer" 2013-05-24 " ntofr1  greenseer  shot looking vertically down onto the bed when melisandre was tugging his pants off whilst not a full on theon circa season 1 there was some shaft i feel dirty i feel even dirtier because i rewatched just to catch it and i did this time "
"13" "Greenseer" 2013-05-24 " moretears  greenseer  there are over 25 million homes in the uk and sky has 10 million subscribers so sky viewers are a minority then there is the fact that game of thrones is on sky atlantic which not all sky subscribers have as part of their subscription package fair enough thanks for clarifying moretears perhaps i just overestimated the subscribers because there seems to be a sky digital dish on every house in my area "
"14" "UncertainAgain" 2013-05-24 " mroneill  exactly its not about the us being uncomfortable with nudity and almost completely about the world market the laws on nudity vary by country but in the us theres no prohibition against nudity and sexuality other than sexualizing minors with nudity but got goes world wide and the show has worked nudity into the exposition so completely that if local airings cut scenes with nudity it would cut the threads of the plot in fact my understanding of showing the penis is that the uk specifically prohibits the penis dangling at a more cocked angle than the resting state pun most certainly intended perhaps that is just the bbc and over the air channels other nations are more prohibitive my own personal take is that those who demand the show justify nudity are simply abusing the term and concept of justification the show has naked people because it is more illustrative in the scenes where it happens its not the actors who are being exploited it is us with our inevitable reactions and we are glad to be and pay money to hbo to be exploited "
"15" "angelamarica" 2013-05-24 " godis7  peter dinklage is a marvel really i think he has the danny de vito character effect but is far handsomer the thing about tyrion is he genuinely loves women and is not just using them as sex toys or for climbing the ladder like most of the other men noone says this but he has pushed the boundaries for dwarfs out of all proportion playing a proper rounded character where his height probably comes fourth to his acting skills likeability and sexappeal as well as letting his vulnerability and wit shine through his complete outer air of confidence "
"16" "TheNorthRemembers" 2013-05-24 " johndear  wildlings worship the same gods the northmen do the old gods animistic spirits of nature and they do it through the weirwoods osha even says it the old gods are my gods too thanks on further research i can see you and nzerdan are absolutely right i missed the remark by osha and i was clearly wrong to say they had no gods they do believe that the old gods made the earth for all men to share and when the kings came with their crowns and their steel swords they stole it by claiming it was all theirs and theirs alone hope i havent got anything else wrong  what makes this saga so fascinating and enjoyable is the enormous amount of complexity  "
"17" "crehane" 2013-05-24 " silgen  not quite right there the cool kids in the north that worship the old gods actually communicate via facetree "
"18" "JohnDear" 2013-05-24 " thenorthremembers  wildlings worship the same gods the northmen do the old gods animistic spirits of nature and they do it through the weirwoods osha even says it the old gods are my gods too "
"19" "Clariana" 2013-05-24 " sunnyone  hugzzz "
"20" "Clariana" 2013-05-24 " thenorthremembers  not quite sure i agree with this seems to me that there are as many varied religions including nonbelievers north of the wall as there are south of it we just dont know about them craster for one seems to if not worship appease the white walkers other tribal leaders seem to have the status of minor deities the magnar there are carismatic leaders too in later books there are rumours that some of the wildings are following a newly emerged prophet witch "
"21" "TheNorthRemembers" 2013-05-24 " ntofr1  tyrion had a classic line almost every time he opened his mouth and now my watch begins  "
"22" "TheNorthRemembers" 2013-05-24 " sunnyone  i really cant stand brian blessed im so glad he hasnt been cast in got he completely wrecked hignfy "
"23" "Werthead" 2013-05-24 " rusticbucket  grrm has indeed confirmed they are beware potential spoilers through the link httpwwwwesterosorgcitadelssmentry2997 twelve moon tuns to a year as on earth even on our earth years have nothing to do with the seasons or with the cycles of the moon a year is a measure of a solar cycle of how long it takes the earth to make one complete revolution around the sun the same is true for the world of westeros seasons do not come into it "
